,word,vowels_amount,penultimate_word_ending,antepenultimate_word_ending,index
14276,COALITIONS,4,1,0,3
6672,COMBINATION,4,1,0,3
36676,COMBINATIONS,4,1,0,3
34463,COMMENDATION,4,1,0,3
21271,COMPENSATION,4,1,0,3
12057,COMPENSATIONS,4,1,0,3
28210,COMPETITIONS,4,1,0,3
15097,COMPILATION,4,1,0,3
40576,COMPILATIONS,4,1,0,3
26022,COMPOSITIONS,4,1,0,3
13639,COMPREHENSION,4,1,0,3
40134,CONCENTRATIONS,4,1,0,3
25111,CONDEMNATION,4,1,0,3
14064,CONDENSATION,4,1,0,3
21235,CONFIRMATION,4,1,0,3
36735,CONFIRMATIONS,4,1,0,3
43820,CONFLAGRATION,4,1,0,3
15968,CONFRONTATION,4,1,0,3
22025,CONGREGATION,4,1,0,3
48477,CONGREGATIONS,4,1,0,3
35732,CONJUGATION,4,1,0,3
44835,CONNOTATION,4,1,0,3
31566,CONNOTATIONS,4,1,0,3
44359,CONSECRATIONS,4,1,0,3
39207,CONSERVATION,4,1,0,3
22548,CONSOLATIONS,4,1,0,3
27269,CONSTELLATION,4,1,0,3
19399,CONSTIPATION,4,1,0,3
32563,CONSTITUTIONS,4,1,0,3
3303,CONSULTATION,4,1,0,3
2714,CONTRACEPTION,4,1,0,3
19759,CONTRADICTION,4,1,0,3
20398,CONTRADICTIONS,4,1,0,3
7008,CONTRAVENTION,4,1,0,3
31459,CONTRIBUTION,4,1,0,3
49269,CONVERSATIONS,4,1,0,3
27237,CONVOCATION,4,1,0,3
13903,CORONATION,4,1,0,3
47513,CORPORATIONS,4,1,0,3
37776,CYTOPLASMIC,4,1,0,3
31123,DAFFYNITION,4,1,0,3
20144,DECLARATION,4,1,0,3
28932,DECLARATIONS,4,1,0,3
48164,DECOMMISSION,4,1,0,3
78,DECONSTRUCTION,4,1,0,3
39012,DECORATIONS,4,1,0,3
46850,DEDICATION,4,1,0,3
30256,DEFINITION,4,1,0,3
22823,DEFORMATION,4,1,0,3
19450,DEGRADATION,4,1,0,3
47600,DEMARCATION,4,1,0,3
5792,DEMARCATIONS,4,1,0,3
38343,DEMOGRAPHIC,4,1,0,3
4866,DEMONSTRATION,4,1,0,3
6116,DEMONSTRATIONS,4,1,0,3
47925,DEPOSITIONS,4,1,0,3
16602,DEPRAVATION,4,1,0,3
8025,DEPRIVATIONS,4,1,0,3
47489,DERELICTION,4,1,0,3
27805,DERIVATION,4,1,0,3
10079,DESECRATION,4,1,0,3
14096,DESECRATIONS,4,1,0,3
32573,DESICCATION,4,1,0,3
2135,DESIGNATION,4,1,0,3
12889,DESIGNATIONS,4,1,0,3
25125,DESMOPLASTIC,4,1,0,3
19408,DESTINATION,4,1,0,3
27422,DETONATION,4,1,0,3
21320,DETONATIONS,4,1,0,3
46221,DEVASTATION,4,1,0,3
29692,DEVIATION,4,1,0,3
35383,DEVIATIONS,4,1,0,3
8384,DIABETIC,4,1,0,3
23581,DIAGNOSTIC,4,1,0,3
44811,DIASONIC,4,1,0,3
3086,DIASTOLIC,4,1,0,3
42199,DIATONIC,4,1,0,3
21245,DILATATION,4,1,0,3
49381,DIMUNITION,4,1,0,3
27563,DIPLOMATIC,4,1,0,3
43622,DISCONNECTION,4,1,0,3
39549,DISINFECTION,4,1,0,3
26650,DISINFLATION,4,1,0,3
21422,DISPENSATION,4,1,0,3
39875,DISPOSITIONS,4,1,0,3
42742,DISSIPATION,4,1,0,3
25780,DISSOLUTION,4,1,0,3
1422,DISSYMMETRIC,4,1,0,3
4256,DISTILLATION,4,1,0,3
3792,DISTRIBUTION,4,1,0,3
26075,DIVINATION,4,1,0,3
18697,DOMINATION,4,1,0,3
6491,DUALISTIC,4,1,0,3
49706,DUPLICATIONS,4,1,0,3
8990,ECONOMIC,4,1,0,3
16715,EDUCATION,4,1,0,3
29030,EDUCATIONS,4,1,0,3
49455,ELEVATION,4,1,0,3
21568,ELEVATIONS,4,1,0,3
48708,ELOCUTION,4,1,0,3
20243,ELONGATION,4,1,0,3
36193,EMBARKATION,4,1,0,3
37511,EMBLEMATIC,4,1,0,3
3183,EMIGRATION,4,1,0,3
24156,EMPATHETIC,4,1,0,3
23778,EMULATION,4,1,0,3
3743,ENDOSCOPIC,4,1,0,3
37820,ENIGMATIC,4,1,0,3
13249,ENZYMATIC,4,1,0,3
31010,EPIDEMIC,4,1,0,3
26224,EPISTEMIC,4,1,0,3
29445,EQUITATION,4,1,0,3
30343,ERGONOMIC,4,1,0,3
45349,ERUDITION,4,1,0,3
37880,ESCALATION,4,1,0,3
36317,ESTIMATIONS,4,1,0,3
29009,ETHNOCENTRIC,4,1,0,3
32074,ETHNOGRAPHIC,4,1,0,3
26297,EUPHEMISTIC,4,1,0,3
43366,EVOCATION,4,1,0,3
3046,EXCAVATIONS,4,1,0,3
30487,EXECUTIONS,4,1,0,3
4757,EXHIBITIONS,4,1,0,3
27633,EXHUMATION,4,1,0,3
30177,EXOTHERMIC,4,1,0,3
20050,EXPECTATION,4,1,0,3
42709,EXPECTATIONS,4,1,0,3
27341,EXPEDITION,4,1,0,3
12830,EXPEDITIONS,4,1,0,3
12079,EXPLICATION,4,1,0,3
7126,EXPLOITATION,4,1,0,3
5511,EXPLORATION,4,1,0,3
38924,EXPLORATIONS,4,1,0,3
41388,EXPOSITION,4,1,0,3
21624,EXPOSITIONS,4,1,0,3
14790,EXTRADITION,4,1,0,3
20886,FASCINATION,4,1,0,3
29451,FATALISTIC,4,1,0,3
22900,FEDERATIONS,4,1,0,3
46225,FEUDALISTIC,4,1,0,3
17785,FIGURATION,4,1,0,3
37490,FILIPOVIC,4,1,0,3
1944,FLUORIDATION,4,1,0,3
13006,GANGLIONIC,4,1,0,3
8016,GENERATION,4,1,0,3
49704,GEOLOGIC,4,1,0,3
33934,GEOSTROPHIC,4,1,0,3
38864,GEOTROPIC,4,1,0,3
48384,GRADUATIONS,4,1,0,3
12272,GRANULATION,4,1,0,3
42263,GYROSCOPIC,4,1,0,3
8985,HABITATION,4,1,0,3
26753,HEGEMONIC,4,1,0,3
49566,HEMOLYTIC,4,1,0,3
6382,HEMORRHAGIC,4,1,0,3
41427,HESITATION,4,1,0,3
5822,HIBERNATION,4,1,0,3
41140,HIEROGLYPHIC,4,1,0,3
13240,HIPPOCRATIC,4,1,0,3
15779,HISTRIONIC,4,1,0,3
11528,HOLOGRAPHIC,4,1,0,3
5990,HOMOPHOBIC,4,1,0,3
43114,HUMANISTIC,4,1,0,3
44355,HYDROPHILIC,4,1,0,3
14476,HYDROPONIC,4,1,0,3
7905,HYPERBARIC,4,1,0,3
16041,HYPERBOLIC,4,1,0,3
15873,HYPERSONIC,4,1,0,3
19774,HYPERTENSION,4,1,0,3
34392,HYPERTROPHIC,4,1,0,3
32502,HYPODERMIC,4,1,0,3
38732,IMPERFECTION,4,1,0,3
1179,IMPERFECTIONS,4,1,0,3
12030,IMPLICATION,4,1,0,3
2337,IMPOLITIC,4,1,0,3
1518,IMPOSITION,4,1,0,3
43670,IMPUTATION,4,1,0,3
8533,INCARNATIONS,4,1,0,3
23674,INCLINATION,4,1,0,3
34337,INCLINATIONS,4,1,0,3
44814,INCRUSTATION,4,1,0,3
29307,INDENTATION,4,1,0,3
30730,INDIGESTION,4,1,0,3
10185,INELASTIC,4,1,0,3
39295,INFESTATIONS,4,1,0,3
28645,INFILTRATION,4,1,0,3
11996,INFLAMMATION,4,1,0,3
39559,INHIBITION,4,1,0,3
2605,INNOVATION,4,1,0,3
10342,INNOVATIONS,4,1,0,3
47136,INORGANIC,4,1,0,3
13856,INSPIRATION,4,1,0,3
26869,INSULATION,4,1,0,3
17764,INTEGRATIONS,4,1,0,3
16069,INTELOGIC,4,1,0,3
10604,INTERACTION,4,1,0,3
38849,INTERCEPTION,4,1,0,3
30466,INTERCESSION,4,1,0,3
7596,INTERDICTION,4,1,0,3
42297,INTERJECTION,4,1,0,3
3051,INTERJECTIONS,4,1,0,3
19538,INTERMISSION,4,1,0,3
2227,INTERPUBLIC,4,1,0,3
49830,INTERRUPTION,4,1,0,3
27324,INTERRUPTIONS,4,1,0,3
27416,INTERSECTION,4,1,0,3
38951,INTERVENTION,4,1,0,3
27224,INTIMATION,4,1,0,3
2683,INTONATIONS,4,1,0,3
43745,INTRODUCTION,4,1,0,3
6009,INUNDATIONS,4,1,0,3
44053,INVITATION,4,1,0,3
26998,INVOCATION,4,1,0,3
14090,IRRITATION,4,1,0,3
9996,IRRITATIONS,4,1,0,3
49773,ISOGENIC,4,1,0,3
49103,ITERATION,4,1,0,3
10343,JINGOISTIC,4,1,0,3
41130,JOVANOVIC,4,1,0,3
11042,JURISDICTIONS,4,1,0,3
11069,KINESTHETIC,4,1,0,3
18688,KOVACEVIC,4,1,0,3
42396,LEGALISTIC,4,1,0,3
8615,LEGISLATION,4,1,0,3
30869,LEVITATION,4,1,0,3
19584,LIBERATION,4,1,0,3
12223,LIMITATION,4,1,0,3
19781,LIMITATIONS,4,1,0,3
29689,LIQUEFACTION,4,1,0,3
16038,LIQUIDATIONS,4,1,0,3
42376,LITHOGRAPHIC,4,1,0,3
49058,LUBRICATION,4,1,0,3
30549,LYMPHOBLASTIC,4,1,0,3
28820,MACHINATION,4,1,0,3
39786,MALFORMATION,4,1,0,3
38355,MALFORMATIONS,4,1,0,3
15684,MEDIATION,4,1,0,3
22267,MEDICATION,4,1,0,3
15192,MEDICATIONS,4,1,0,3
7973,MEDITATION,4,1,0,3
1695,MEDITATIONS,4,1,0,3
29314,MELANCHOLIC,4,1,0,3
17414,MENSTRUATION,4,1,0,3
14330,MESENTERIC,4,1,0,3
47191,MESOLITHIC,4,1,0,3
30734,MESOZOIC,4,1,0,3
18296,MESSIANIC,4,1,0,3
9248,MICROSCOPIC,4,1,0,3
7070,MISCONCEPTIONS,4,1,0,3
39662,MISCREATION,4,1,0,3
40040,MISERATION,4,1,0,3
47362,MISIMPRESSION,4,1,0,3
26982,MITIGATION,4,1,0,3
19446,MODERATION,4,1,0,3
45966,MOLESTATION,4,1,0,3
19221,MONOCARPIC,4,1,0,3
20472,MONOLITHIC,4,1,0,3
1012,MOTIVATION,4,1,0,3
41074,MULTIETHNIC,4,1,0,3
14318,MUTILATION,4,1,0,3
1069,MUTILATIONS,4,1,0,3
13646,NARCISSISTIC,4,1,0,3
33164,NEOCLASSIC,4,1,0,3
17247,NEUROLOGIC,4,1,0,3
46384,NOMINATION,4,1,0,3
38408,NOMINATIONS,4,1,0,3
24620,NONAGGRESSION,4,1,0,3
44850,NONPRESCRIPTION,4,1,0,3
729,NONSPECIFIC,4,1,0,3
27325,NOVELISTIC,4,1,0,3
31277,NUCLEATION,4,1,0,3
10972,NUCLEONIC,4,1,0,3
7207,NUMISMATIC,4,1,0,3
47748,OBFUSCATION,4,1,0,3
48980,OBSERVATION,4,1,0,3
42151,OBSERVATIONS,4,1,0,3
27950,OCCUPATION,4,1,0,3
25926,OPERATION,4,1,0,3
40005,OPPOSITION,4,1,0,3
28594,OPPOSITIONS,4,1,0,3
27075,OPTOMETRIC,4,1,0,3
40681,ORCHESTRATION,4,1,0,3
19889,ORCHESTRATIONS,4,1,0,3
27966,ORGANISMIC,4,1,0,3
35142,OROGRAPHIC,4,1,0,3
25360,ORTHODONTIC,4,1,0,3
48883,ORTHOPEDIC,4,1,0,3
18176,OSTENTATION,4,1,0,3
48837,OVULATION,4,1,0,3
41028,OXIDATION,4,1,0,3
29070,PANORAMIC,4,1,0,3
45020,PARABOLIC,4,1,0,3
33797,PARALYMPIC,4,1,0,3
21711,PARALYTIC,4,1,0,3
8279,PARAMEDIC,4,1,0,3
12318,PARAMETRIC,4,1,0,3
48335,PARAPLEGIC,4,1,0,3
26380,PATHOGENIC,4,1,0,3
17261,PATRIOTIC,4,1,0,3
27870,PATRONYMIC,4,1,0,3
20566,PEDIATRIC,4,1,0,3
34001,PENETRATION,4,1,0,3
14533,PERFORATION,4,1,0,3
21107,PERFORATIONS,4,1,0,3
20063,PERIODIC,4,1,0,3
49225,PERMUTATION,4,1,0,3
19793,PERSECUTION,4,1,0,3
8526,PERSECUTIONS,4,1,0,3
36143,PERSPIRATION,4,1,0,3
40046,PERTURBATION,4,1,0,3
13207,PHARAONIC,4,1,0,3
36253,PHENOTYPIC,4,1,0,3
39620,PHILOSOPHIC,4,1,0,3
41073,PHOTOGENIC,4,1,0,3
29830,PHOTOGRAPHIC,4,1,0,3
29688,PIGMENTATION,4,1,0,3
17186,PLEOMORPHIC,4,1,0,3
22611,POLYCARPIC,4,1,0,3
12868,POLYPHONIC,4,1,0,3
11133,POLYTROPIC,4,1,0,3
32097,POPULATION,4,1,0,3
16416,PORNOGRAPHIC,4,1,0,3
504,PORPHYRITIC,4,1,0,3
47752,PREBIOTIC,4,1,0,3
23603,PRECONCEPTION,4,1,0,3
30438,PRECONCEPTIONS,4,1,0,3
26277,PRECONDITIONS,4,1,0,3
47258,PREELECTION,4,1,0,3
18141,PREIGNITION,4,1,0,3
49933,PREMONITION,4,1,0,3
20556,PREMONITIONS,4,1,0,3
22141,PREPARATIONS,4,1,0,3
16245,PRESENTATIONS,4,1,0,3
39579,PRESERVATION,4,1,0,3
19214,PROBLEMATIC,4,1,0,3
18556,PROFANATION,4,1,0,3
8030,PROHIBITION,4,1,0,3
23325,PROPHYLACTIC,4,1,0,3
2523,PROPIONIC,4,1,0,3
37696,PROPOSITIONS,4,1,0,3
46908,PROSECUTION,4,1,0,3
24799,PROTESTATION,4,1,0,3
15215,PROVOCATIONS,4,1,0,3
18829,PSYCHIATRIC,4,1,0,3
11668,PSYCHOGENIC,4,1,0,3
41212,PUBLICATION,4,1,0,3
12716,PUBLICATIONS,4,1,0,3
46976,PYROTECHNIC,4,1,0,3
31996,RADIATION,4,1,0,3
29115,RECANTATION,4,1,0,3
13741,RECLAMATION,4,1,0,3
20987,RECOLLECTION,4,1,0,3
1309,RECOLLECTIONS,4,1,0,3
5793,RECONDITION,4,1,0,3
7219,RECONSTRUCTION,4,1,0,3
2990,RECONSTRUCTIONS,4,1,0,3
17924,RECREATION,4,1,0,3
43791,REGISTRATION,4,1,0,3
24567,REHYDRATION,4,1,0,3
12968,REINSPECTION,4,1,0,3
49616,REINSPECTIONS,4,1,0,3
10177,REINVENTION,4,1,0,3
44393,RENOVATION,4,1,0,3
11599,REPARATION,4,1,0,3
5970,REPERCUSSION,4,1,0,3
4728,REPERCUSSIONS,4,1,0,3
18534,REPERFUSION,4,1,0,3
46794,REPETITION,4,1,0,3
42180,REPLICATION,4,1,0,3
26141,REPRODUCTION,4,1,0,3
26909,REPUTATIONS,4,1,0,3
11578,REQUISITION,4,1,0,3
42964,RESERVATION,4,1,0,3
28344,RESIGNATION,4,1,0,3
11769,RESIGNATIONS,4,1,0,3
22041,RESOLUTIONS,4,1,0,3
3081,RESPIRATION,4,1,0,3
27379,RESPIRONIC,4,1,0,3
15197,RESURRECTION,4,1,0,3
6494,RETARDATION,4,1,0,3
33407,RETRANSMISSION,4,1,0,3
20991,RETRIBUTION,4,1,0,3
10108,RETROCESSION,4,1,0,3
24720,REVOLUTION,4,1,0,3
8407,RUMINATION,4,1,0,3
29939,RUMINATIONS,4,1,0,3
35428,SATISFACTION,4,1,0,3
43699,SATISFACTIONS,4,1,0,3
22661,SATURATION,4,1,0,3
41341,SEGMENTATION,4,1,0,3
35136,SEMIOTIC,4,1,0,3
43301,SENSORMATIC,4,1,0,3
574,SEQUESTRATION,4,1,0,3
43159,SIMULATION,4,1,0,3
41362,SIMULATIONS,4,1,0,3
37564,SITUATION,4,1,0,3
37424,SOPHOMORIC,4,1,0,3
7000,STENOGRAPHIC,4,1,0,3
9352,STIPULATION,4,1,0,3
29265,STRANGULATIONS,4,1,0,3
5825,STRATIGRAPHIC,4,1,0,3
1057,STRATOSPHERIC,4,1,0,3
8467,SUBATOMIC,4,1,0,3
41109,SUBLUXATION,4,1,0,3
3690,SUBSTITUTION,4,1,0,3
39556,SUBSTITUTIONS,4,1,0,3
44719,SUFFOCATION,4,1,0,3
31120,SUMMAGRAPHIC,4,1,0,3
1447,SUPERSTATION,4,1,0,3
26050,SUPERSTITION,4,1,0,3
46603,SUPERSTITIONS,4,1,0,3
33970,SUPERVISION,4,1,0,3
34689,SURROGATION,4,1,0,3
4263,SYMBIOTIC,4,1,0,3
32710,SYMPATHETIC,4,1,0,3
2846,SYMPTOMATIC,4,1,0,3
45602,TABULATION,4,1,0,3
42769,TECHNOCRATIC,4,1,0,3
2686,TECHNOLOGIC,4,1,0,3
28632,TELECTRONIC,4,1,0,3
37024,TELEDESIC,4,1,0,3
21229,TELESCOPIC,4,1,0,3
36903,TERMINATIONS,4,1,0,3
4347,THEOCRATIC,4,1,0,3
20404,THROMBOLYTIC,4,1,0,3
39649,TOMOGRAPHIC,4,1,0,3
6283,TRANSATLANTIC,4,1,0,3
17677,TRANSFORMATION,4,1,0,3
18381,TRANSFORMATIONS,4,1,0,3
48860,TREPIDATION,4,1,0,3
45207,TRIBULATION,4,1,0,3
49478,ULCERATION,4,1,0,3
37342,ULCERATIONS,4,1,0,3
14783,UNIMATION,4,1,0,3
29976,UNIVISION,4,1,0,3
35317,UNREALISTIC,4,1,0,3
22160,VALIDATION,4,1,0,3
36292,VARIATION,4,1,0,3
10119,VARIATIONS,4,1,0,3
25143,VEGETATION,4,1,0,3
20297,VENTILATION,4,1,0,3
19892,VINDICATION,4,1,0,3
1221,VITRIOLIC,4,1,0,3
15280,VOYEURISTIC,4,1,0,3
42130,XENOPHOBIC,4,1,0,3
30011,ABDUCTION,3,1,0,2
30381,ABDUCTIONS,3,1,0,2
22852,ABORTION,3,1,0,2
29013,ABORTIONS,3,1,0,2
315,ABRASION,3,1,0,2
36984,ABSTENTION,3,1,0,2
47590,ABSTRACTION,3,1,0,2
45035,ABSTRACTIONS,3,1,0,2
906,ACCRETION,3,1,0,2
10846,ACERBIC,3,1,0,2
32995,ACETIC,3,1,0,2
48706,ACRYLIC,3,1,0,2
15365,ADDICTION,3,1,0,2
31235,ADDICTIONS,3,1,0,2
27125,ADDITION,3,1,0,2
41788,ADHESION,3,1,0,2
2101,ADMISSIONS,3,1,0,2
414,AESTHETIC,3,1,0,2
13536,AFFECTION,3,1,0,2
11508,AFFLICTIONS,3,1,0,2
24794,AGGRESSIONS,3,1,0,2
45247,AGNOSTIC,3,1,0,2
29023,ALLELIC,3,1,0,2
42115,ALLERGIC,3,1,0,2
42838,ALTAIC,3,1,0,2
34076,AMBITIONS,3,1,0,2
21602,AMOEBIC,3,1,0,2
10518,ANARCHIC,3,1,0,2
27129,ANEMIC,3,1,0,2
30180,AQUATIC,3,1,0,2
30788,ARCHAIC,3,1,0,2
31668,ASCENSION,3,1,0,2
45897,ASCETIC,3,1,0,2
3148,ASPERSION,3,1,0,2
28740,ASPERSIONS,3,1,0,2
24541,ASSERTIONS,3,1,0,2
11539,ASSUMPTIONS,3,1,0,2
23801,ASTHMATIC,3,1,0,2
7127,ATTENTIONS,3,1,0,2
42406,ATTRACTION,3,1,0,2
20425,ATTRACTIONS,3,1,0,2
11299,ATYPIC,3,1,0,2
43831,AUDITION,3,1,0,2
8933,AUTHENTIC,3,1,0,2
42907,BALLISTIC,3,1,0,2
44870,BUBONIC,3,1,0,2
11097,BULIMIC,3,1,0,2
15976,CALORIC,3,1,0,2
48605,CANONIC,3,1,0,2
18920,CARBONIC,3,1,0,2
12788,CARNATIONS,3,1,0,2
15472,CARPENCIC,3,1,0,2
24862,CASTRATION,3,1,0,2
5940,CASTRATIONS,3,1,0,2
1775,CATHARTIC,3,1,0,2
36395,CERAMIC,3,1,0,2
39119,CESSATION,3,1,0,2
16703,CHAOTIC,3,1,0,2
49926,CHERUBIC,3,1,0,2
26894,CITATIONS,3,1,0,2
12078,CLIMATIC,3,1,0,2
3178,COGNITION,3,1,0,2
6940,COLLECTION,3,1,0,2
15584,COLLUSION,3,1,0,2
10404,COMPLECTION,3,1,0,2
35938,COMPLETIONS,3,1,0,2
23859,COMPRESSION,3,1,0,2
3247,COMPULSION,3,1,0,2
27316,CONCEPTION,3,1,0,2
5470,CONCEPTIONS,3,1,0,2
18106,CONCESSION,3,1,0,2
32210,CONCESSIONS,3,1,0,2
42207,CONCLUSIONS,3,1,0,2
37962,CONCOCTION,3,1,0,2
46260,CONCUSSION,3,1,0,2
42954,CONCUSSIONS,3,1,0,2
19142,CONFECTIONS,3,1,0,2
13216,CONFESSION,3,1,0,2
40420,CONFESSIONS,3,1,0,2
32387,CONFLATION,3,1,0,2
34520,CONGESTION,3,1,0,2
12634,CONJUNCTION,3,1,0,2
45286,CONNECTION,3,1,0,2
8077,CONNECTIONS,3,1,0,2
49308,CONNIPTION,3,1,0,2
9696,CONSTRICTION,3,1,0,2
9055,CONSTRICTIONS,3,1,0,2
40123,CONSTRUCTION,3,1,0,2
37675,CONSTRUCTIONS,3,1,0,2
19568,CONSUMPTION,3,1,0,2
8392,CONTENTIONS,3,1,0,2
39413,CONTORTION,3,1,0,2
8937,CONTRACTION,3,1,0,2
29326,CONTRACTIONS,3,1,0,2
20397,CONTRAPTIONS,3,1,0,2
43450,CONTRITION,3,1,0,2
27216,CONVECTION,3,1,0,2
14266,CONVENTION,3,1,0,2
32913,CONVENTIONS,3,1,0,2
13231,CONVERSION,3,1,0,2
9296,CONVULSIONS,3,1,0,2
43245,CORROSION,3,1,0,2
22498,CORRUPTIONS,3,1,0,2
37097,CREATION,3,1,0,2
14822,CUSHITIC,3,1,0,2
31482,CYRILLIC,3,1,0,2
23629,DAMNATION,3,1,0,2
29410,DECEPTIONS,3,1,0,2
46488,DECISION,3,1,0,2
12248,DEFECTION,3,1,0,2
6440,DEFLATION,3,1,0,2
24376,DELUSION,3,1,0,2
33671,DELUSIONS,3,1,0,2
43069,DEMOTIONS,3,1,0,2
20895,DENDRITIC,3,1,0,2
25988,DEPICTION,3,1,0,2
1234,DEPRESSION,3,1,0,2
24122,DERISION,3,1,0,2
13368,DESCRIPTIONS,3,1,0,2
4767,DESERTION,3,1,0,2
27296,DETECTION,3,1,0,2
40841,DETENTION,3,1,0,2
13147,DETENTIONS,3,1,0,2
30033,DIDACTIC,3,1,0,2
937,DIGESTION,3,1,0,2
47936,DIGRESSION,3,1,0,2
43959,DIGRESSIONS,3,1,0,2
9327,DILATION,3,1,0,2
32972,DIMENSIONS,3,1,0,2
7590,DIMORPHIC,3,1,0,2
16726,DIRECTIONS,3,1,0,2
32161,DISCUSSION,3,1,0,2
46025,DISPERSION,3,1,0,2
6281,DISSECTION,3,1,0,2
29325,DISSECTIONS,3,1,0,2
48296,DISSENSION,3,1,0,2
17890,DISTINCTIONS,3,1,0,2
10478,DISTRACTION,3,1,0,2
37908,DISTRACTIONS,3,1,0,2
14816,DIVERSIONS,3,1,0,2
994,DOGMATIC,3,1,0,2
13624,DONATIONS,3,1,0,2
19822,DYNAMIC,3,1,0,2
46015,DYNASTIC,3,1,0,2
2521,DYSLEXIC,3,1,0,2
46083,EBONIC,3,1,0,2
12842,ECLIPTIC,3,1,0,2
30242,EDITIONS,3,1,0,2
15940,EJECTION,3,1,0,2
41079,ELASTIC,3,1,0,2
4104,ELATION,3,1,0,2
44022,ELECTIONS,3,1,0,2
39870,ELECTRIC,3,1,0,2
3098,EMOTION,3,1,0,2
37402,EMOTIONS,3,1,0,2
11874,EMPHATIC,3,1,0,2
30752,ENCRYPTION,3,1,0,2
49066,ENDEMIC,3,1,0,2
23010,ENVISION,3,1,0,2
27215,EQUATION,3,1,0,2
38759,ERECTION,3,1,0,2
26410,EROSION,3,1,0,2
12521,EROTIC,3,1,0,2
26727,ERRATIC,3,1,0,2
24086,ERUPTIONS,3,1,0,2
17214,ESCHEMIC,3,1,0,2
43933,EVASION,3,1,0,2
32250,EVASIONS,3,1,0,2
35224,EXACTION,3,1,0,2
8370,EXACTIONS,3,1,0,2
19389,EXCEPTION,3,1,0,2
26538,EXCEPTIONS,3,1,0,2
4401,EXCISION,3,1,0,2
36024,EXCLUSIONS,3,1,0,2
43630,EXCRETION,3,1,0,2
47731,EXEMPTION,3,1,0,2
27733,EXERTION,3,1,0,2
17742,EXOTIC,3,1,0,2
43053,EXPANSION,3,1,0,2
18551,EXPANSIONS,3,1,0,2
28475,EXPLOSIONS,3,1,0,2
11766,EXPRESSIONS,3,1,0,2
18174,EXPULSION,3,1,0,2
18429,EXPULSIONS,3,1,0,2
43147,EXTENSIONS,3,1,0,2
8840,EXTINCTION,3,1,0,2
23490,EXTORTION,3,1,0,2
22002,EXTRACTIONS,3,1,0,2
32767,EXTRINSIC,3,1,0,2
15245,EXTRUSION,3,1,0,2
33285,FANATIC,3,1,0,2
7721,FANTASTIC,3,1,0,2
16790,FIBRONIC,3,1,0,2
35647,FLEXTRONIC,3,1,0,2
44969,FLIRTATIONS,3,1,0,2
16059,FORMATION,3,1,0,2
49557,FOUNDATION,3,1,0,2
34097,FOUNDATIONS,3,1,0,2
35607,FRUSTRATION,3,1,0,2
8657,FRUSTRATIONS,3,1,0,2
35328,GENETIC,3,1,0,2
4551,GIGANTIC,3,1,0,2
48417,GLUTAMIC,3,1,0,2
5020,GLUTARIC,3,1,0,2
40583,GLYCOLIC,3,1,0,2
